SiteName,Municipality,ProgramCategory,EnforcementTypeDescription,IssuedDate,DocumentNumber,PenaltyCashAssessed,Comment
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT THE HOLLISTON TRANSFER STATION ON 12/20/2019. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,"WASTE BAN VIOLATION OBSERVED AT DEVENS RECYCLING CENTER ON 01/15/2020, CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,"WASTBAN VIOLATIONS OCCURED AT THE AUBURN TRANSFER STATION ON 12/18/19. CARDBOARD, WOOD, METAL"
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT EL HARVEY & SONS IN FITCHBURG ON 01/03/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATON OCCURED AT HOLLISTON TRANSFER STATION ON 12/31/19. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON 01/03/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT WHEELABRATOR NORTH ANDOVER ON 01/03/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT HOLLISTON TRANSFER STATION ON 12/20/2019. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT EL HARVEY TRANSFER STATION ON 01/08/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT THE HUDSON TRANSFER STATION ON 12/31/2019. CARDBOARD AND GLASS BOTTLES
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT DEVENS RECYCLING CENTER ON 01/15/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT WHEELABRATOR NORTH ANDOVER ON 01/03/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATIONS OBSERVED AT DEVENS RECYCLING CENTER ON 01/15/2020. CARDBORD AND COMMERCIAL ORGANIC MATERIAL FOOD WASTE
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT EL HARVEY TRANSFER STATION ON 01/08/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT DEVENS RECYCLING CENTER ON 01/15/2020 CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT WHEELABRATOR NORTH ANDOVER ON 01/03/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OCCURED AT WHEELABRATOR NORTH ANDOVER ON 01/03/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,VIOLATION OCCURED AT THE HUDSON TRANSFER STATION ON 12/31/2019. CARDBOARD AND COMERCIAL ORGANIC MATERIAL FOOD WASTE
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT EL HARVEY TRANSFER STATION ON 01/08/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/10/20,,0,WASTE BAN VIOLATION OBSERVED AT WHEELABRATOR NORTH ANDOVER ON 01/03/2020. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,2/7/20,,0,1/24/2020 HOWARD TS RECYCLABLE PAPER (CARDBOARD) AND WHITE GOODS (2 DISHWASHERS)
,,GEN-SW,Notice Of Non-Compliance,2/7/20,,0,1/24/2020 HOWARD TS RECYCLABLE PAPER (CARDBOARD)
,,GEN-SW,Notice Of Non-Compliance,2/6/20,,0,1/24/2020 OBSERVED WASTE BAN VIOLATION FOR RECYCLABLE PAPER (CARDBOARD) AT HOWARD TS
,,GEN-SW,Notice Of Non-Compliance,2/6/20,,0,1/24/2020 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT HOWARD TS
,,GEN-SW,Notice Of Non-Compliance,2/6/20,,0,1/24/2020 VIOLATION OBSERVED FOR RECYCLABLE PAPER (CARDBOARD) AND METAL AT HOWARD TS
,,GEN-SW,Notice Of Non-Compliance,2/4/20,,0,CARDBOARD OBSERVED AT BRAINTREE TS 1/3/20
,,GEN-SW,Notice Of Non-Compliance,2/4/20,,0,WASTE BAN VIOLATION HOWARD TS 1/24/2020 RECYCLABLE PAPER (CARDBOARD)
,,GEN-SW,Notice Of Non-Compliance,2/4/20,,0,"CARDBOARD OBSERVED AT BRAINTREE TS 1/3/20 LOAD CAME FROM PRYNNE HILLS CANTON, MA"
,,GEN-SW,Notice Of Non-Compliance,2/4/20,,0,WASTE BAN VIOLATION HOWARD TS 1/24/2020 RECYCLABLE PAPER (CARDBOARD)
,,GEN-SW,"Administrative Consent Order, With Penalty",2/4/20,,2000,WASTE BAN VIOLATIONS OBSERVED AT HOWARD TS 11/5/2019 RECYCLABLE PAPER (CARDBOARD) AND SINGLE POLYMER BOTTLES
,,GEN-SW,Notice Of Non-Compliance,2/4/20,,0,WASTE BAN VIOLATION OBSERVED AT HOWARD TS 1/24/2020 RECYCLABLE PAPER (CARDBOARD) AND SINGLE POLYMER BOTTLES. 13-MAR-2020 - REQ RTC EXTENSION TO 13-APR-2020
,,GEN-SW,Notice Of Non-Compliance,2/4/20,,0,CARDBOARD OBSERVED AT BRAINTREE TS 1/3/20
,,GEN-SW,"Administrative Consent Order, With Penalty",1/31/20,,2000,"MULTIPLE FAILED LOADS AT BRAINTREE TS, CARDBOARD. PRIOR NONS"
,,GEN-SW,Notice Of Non-Compliance,1/30/20,,0,CARDBOARD OBS AT BRAINTREE TS 1/3/20
,,HAULER,Notice Of Non-Compliance,11/15/19,,0,SINGLE STREAM RECYCLING OBSERVED BY ROB TOCCHIO AT BRAINTREE TS
,,HAULER,Notice Of Non-Compliance,12/30/19,,0,SINGLE STREAM RECYCLING OBSERVED AT RAYNHAM TS
,,GEN-SW,Notice Of Non-Compliance,1/23/20,,0,CARDBOARD HUDSON TS 8/30/2019 91 7108 2133 3935 7836 4128
,,GEN-SW,Notice Of Non-Compliance,1/16/20,,0,11/5/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT HOWARD TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,1/16/20,,0,CARBOARD OBSERVED AT FALL RIVER TS ON 12/27/19
,,GEN-SW,Notice Of Non-Compliance,1/16/20,,0,CARDBOARD OBS AT RAYNHAM TS
,,GEN-SW,Notice Of Non-Compliance,1/16/20,,0,11/5/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT HOWARD TRANSFER STATION
,,HAULER,Notice Of Non-Compliance,4/6/18,,0,OBSERVED CARDBOARD 3/28/2018 AT HOLLISTON TS
,,GEN-SW,Notice Of Non-Compliance,1/16/20,,0,CARDBOARD AND WOOD OBSERVED AT RAYNHAM TS
,,GEN-SW,Notice Of Non-Compliance,1/14/20,,0,1/8/2020 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT LYNN TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT HUDSON TRANSFER STATION ON NOVEMBER 29, 2019. CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT PEABODY WOOD TRANSFER STATION ON DECEMBER 06, 2019. CARDBOARD AND FOOD WASTE"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT EL HARVEY TRANSFER STATION ON NOVEMBER 27, 2019. CARDBOARD AND COMMERCIAL ORGAIN MATERIAL FOOD WASTE"
,,HAULER,Notice Of Non-Compliance,3/19/18,,0,OBSERVED CARDBOARD 2/22/2018 AT HOLLISTON TS
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT HUDSON TRANSFER STATION ON NOVEMBER 29, 2019. CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT PEABODY WOOD TRANSFER STATION ON DECEMBER 6, 2019. CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT PEABODY WOOD TRANSFER STATION ON DECEMBER 06, 2020. CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT PEABODY WOOD TRANSFER STATION ON DECEMBER 06, 2019. CARDBOARD AND FOOD WASTE"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT WHEELABRATOR NORTH ANDOVER ON DECEMBER 04, 2019. CARDBOARD AND WOOD"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INPSECTION AT HOLLISTION TRANSFER STATION ON NOVEMBER 20, 2019 CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT OXFORD TRANSFER STATION ON NOVEMBER 26, 2019. CARDBOARD AND COMMERCIAL ORGANIC FOOD WASTE"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT OXFORD TRANSFER STATION ON NOVEMBER 26, 2019. CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT OXFORD TRANSFER STATION ON NOVEMBER 26, 2019. CARDBOARD AND COMMERCIAL ORGANIC MATERIAL FOOD WASTE"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,INSPECTION AT PEABODY WOOD TRANSFER STATION ON 12/06/2019. CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT WHEELABRATOR NORTH ANDOVER ON DECEMBER 04, 2019. CARDBOARD AND COMMERCIAL ORGANIC MATERIAL FOOD WASTE"
,,GEN-SW,Notice Of Non-Compliance,1/13/20,,0,"INSPECTION AT HOLLISTON TRANSFER STATION ON NOVEMBER 20, 2019. CARDBOARD"
,,GEN-SW,"Administrative Consent Order, With Penalty",1/13/20,,1860,ACOP FOR WASTE BAN VIOLATIONS AT WHEELABRATOR MILLBURY 2/28/2018 (CARDBOARD) AND NO RESPONSE TO PRIOR NON FOR WB VIOLATIONS (CARDBOARD) AT AUBURN TRANSFER STATION 9/21/17.
,,GEN-SW,"Administrative Consent Order, With Penalty",1/8/20,,946,"ACOP FOR SECOND FAILED LOAD AT RAYNHAM TS, PRIOR NON. RTCR SENT MARCH 2 2020"
,,GEN-SW,"Administrative Consent Order, With Penalty",1/8/20,,2000,ACOP FOR MULTIPLE FAILED LOADS AND PRIO NONS RTC
,,GEN-SW,Notice Of Non-Compliance,1/7/20,,0,12/5/2019 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT WHEELABRATOR SAUGUS COMBUSTION FACILITY
,,GEN-SW,Notice Of Non-Compliance,1/7/20,,0,CARDBOARD FROM 744 COLUMBUS AVE BOSTON. OBSERVED AT HOWARD TS 12/12/19
,,HAULER,Notice Of Non-Compliance,12/28/17,,0,OBSERVED CARDBOARD 12/13/2017 AT COVANTA HAVERHILL
,,HAULER,Notice Of Non-Compliance,3/31/17,,0,OBSERVED AT AUBURN TRANSFER STATION 3/8/2017
,,GEN-SW,Notice Of Non-Compliance,1/7/20,,0,PAPER/CARDBOARD OBSERVED AT HOWARD TS 12/12/19
,,GEN-SW,Notice Of Non-Compliance,1/3/20,,0,"WASTE BAN LOAD (CARDBOARD AND METALS) ORIGINATING FOR AMAZON FULLFILLMENT CENTER LOCATED AT 200 OLD IRON ORE ROAD IN WINDSOR, CT FOR DISPOSAL AT THE MCNAMARA TRANSFER STATION IN SPRINGFIELD."
,,GEN-SW,Notice Of Non-Compliance,1/3/20,,0,WASTE BAN: WASTE BAN LOAD (WOOD) ON 11/22/2019 ORGINATING FROM COMCAST LOCATED AT 1110 EAST MOUNTAIN ROAD IN WESTFIELD FOR DISPOSAL AT CASELLA OF HOLYOKE TRANSFER STATION IN HOLYOKE.
,,GEN-SW,Notice Of Non-Compliance,1/3/20,,0,WASTE BAN: WASTE BAN MATERIALS (WOOD AND CARDBOARD) FROM MUTH ASSOCIATES BROUGHT FOR DISPOSAL AT WESTERN RECYCLING TRANSFER STATION IN WILBRAHAM ON 12/13/2019.
,,GEN-SW,Notice Of Non-Compliance,1/3/20,,0,WASTE BAN LOAD (WOOD AND METALS) ON 11/22/2019 ORIGINATING FROM NUPRO LOCATED AT 10 SANDY LANE IN SOUTH DEERFIELD FOR DISPOSAL AT CASELLA OF HOLYOKE TRANSFER STATION IN HOLYOKE.
,,GEN-SW,"Administrative Consent Order, With Penalty",1/3/20,,2000,ACOP FOR WASTE BAN VIOLATIONS (CARDBOARD) 1/10/2019 AND 6/28/2019 AT PEABODY WOOD TRANSFER STATION. RTC LETTER ISSUED 10 MAR 2020.
,,GEN-SW,Notice Of Non-Compliance,1/3/20,,0,WASTE BAN LOAD (CARDBOARD) ON 11/8/2019 ORGINATION FROM SABIC FOR DISPOSAL AT THE COMMUNITY ECO POWER INCINERATOR IN PITTSFIELD.
,,GEN-SW,Notice Of Non-Compliance,12/30/19,,0,CARDBOARD AT HAVERHILL COVANTA
,,HAULER,Notice Of Non-Compliance,9/12/16,,0,OBSERVED 8/16/2016 AT AKS RECYCLING. RETRACTED NON 10/5/2016.
,,GEN-SW,"Administrative Consent Order, With Penalty",12/26/19,,1000,ACOP FOR MULRIPLE NONS AND FAILED LOAD AT WHEELABRATOR N. ANDOVER 8/16/19
,,GEN-SW,Notice Of Non-Compliance,12/19/19,,0,CARDBOARD OBSERVED AT RAYNHAM TS
,,GEN-SW,Notice Of Non-Compliance,12/19/19,,0,CARDBOARD OBSERVED AT RAYNHAM TS
,,GEN-SW,Notice Of Non-Compliance,12/19/19,,0,CARDBOARD OBSERVED AT THE RAYNHAM TS
,,GEN-SW,Notice Of Non-Compliance,12/17/19,,0,OBSERVED 50% CARDBOARD 10/23/2019 AT HARVEY OF FITCHBURG HAULED BY JE TULLY
,,GEN-SW,Notice Of Non-Compliance,12/17/19,,0,BOSERVED CARDBOARD & FOOD 11/6/2019 AT PEABODY WOOD TS HAULED BY REPUBLIC
,,GEN-SW,"Administrative Consent Order, With Penalty",12/16/19,,1892,"WASTE BAN HLE FOR COMMERCIAL ORGANIC MATERIAL (FOOD MATERIAL) AT TWO FACILITIES. VIOLATIONS OBSERVED 9/4/19 AT FALL RIVER TS 21-FEB-2020 RTC REC. 2/14/2020, DEP REQ. REV. DUE 19-MAR-2020"
,,GEN-SW,Notice Of Non-Compliance,12/13/19,,0,12/5/19 WHEELABRATOR SAUGUS CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,12/13/19,,0,WASTE BAN NON FOR CARDBOARD 12/5/19 SAUGUS
,,GEN-SW,Notice Of Non-Compliance,12/13/19,,0,WASTE BAN NON FOR CARDBOARD 8/7/19 POST ROAD TRANSFER STATION SUDBURY
,,GEN-SW,Notice Of Non-Compliance,12/13/19,,0,12/5/19 WHEELABRATOR SAUGUS CARDOBOARD
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD FROM EAVES APARTMENTS PEABODY AT PEABODY WOOD TS HAULED BY WASTE MGMT
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD 11/1/2019 AT WHEELABRATOR NORTH ANDOVER HAULED BY WASTE MGMT
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD & FOOD 11/6/2019 AT PEABODY WOOD TS HAULED BY REPUBLIC
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD 11/1/2019 FROM THE HEIGHTS AMESBURY AT WHEELABRATOR NORTH ANDOVER HAULED BY WASTE MGMT
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD & FOOD 11/6/2019 AT PEABODY WOOD TS HAULED BY REPUBLIC
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,PBSERVED CARDBOARD & FOOD AT PEABODY WOOD TS HAULED BY REPUBLIC
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED 35-40% CARDBOARD FROM KOHLS SALEM NH AT WHEELABRATOR NORTH ANDOVER HAULED BY WASTE MGMT
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD 11/6/2019 FROM RESIDENCES AT LITTLE RIVER APARTMENTS AT PEABODY WOOD TS HAULED BY REPUBLIC
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD 11/6/2019 AT PEABODY WOOD TS HAULED BY CHARLES GEORGE
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD AT WHEELABRATOR NORTH ANDOVER HAULED BY EL HARVEY
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD & METAL 11/6/2019 AT PEABODY WOOD TS HAULED BY WASTE MGMT
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED 80% CARDBOARD 11/1/2019 AT UNITED MATERIALS MILLBURY
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD 11/6/2019 AT PEABODY WOOD TS HAULED BY REPUBLIC
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD 11/1/2019 AT WHEELABRATOR NORTH ANDOVER HAULED BY BAY STATE
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED CARDBOARD 11/1/2019 FROM UPS CUSTOMER CENTER AT WHEELABRATOR NORTH ANDOVER HAULED BY EL HARVEY
,,GEN-SW,Notice Of Non-Compliance,12/12/19,,0,OBSERVED 2 FAILED LOADS OF CARDBOARD & FOOD 11/6/2019 FROM MARKET STREET (WS DEVELOPMENT) IN LYNNFIELD AT PEABODY WOOD TS HAULED BY JRM
,,HAULER,Notice Of Non-Compliance,9/12/16,,0,OBSERVED 8/16/2016 AT AKS RECYCLING
,,GEN-SW,Notice Of Non-Compliance,12/11/19,,0,CARDBOARD AND METAL OBSERED AT BRAINTREE TS
,,GEN-SW,Notice Of Non-Compliance,12/11/19,,0,OBSERVED CARDBOARD 11/1/2019 AT WHEELABRATOR NORTH ANDOVER DELIVERED BY BAY STATE DISPOSAL
,,GEN-SW,Notice Of Non-Compliance,12/10/19,,0,OBSERVED 50% CARDBARD 10/18/2019 AT WHEELABRATOR MILLBURY HAULED BY REPUBLIC
,,GEN-SW,Notice Of Non-Compliance,12/10/19,,0,"OBSERVED CARDBOARD ON OCTOBER 25, 2019 AT E.L. HARVEY"
,,GEN-SW,Notice Of Non-Compliance,12/10/19,,0,OBSERVED CARDBOARD 10/23/2019 AT EL HARVEY HAULED BY JE TULLY
,,GEN-SW,Notice Of Non-Compliance,12/10/19,,0,OBSERVED 20% FOOD AT HUDSON TS 10/23/2019 HAULED BY B-P TRUCKING
,,GEN-SW,Notice Of Non-Compliance,12/10/19,,0,OBSERVED CARDBOARD 10/25/2019 AT EL HARVEY
,,GEN-SW,Notice Of Non-Compliance,12/10/19,,0,"OBSERVED CARDBOARD ON NOVEMBER 1, 2019 AT WHEELABRATOR NORTH ANDOVER DELIVERED FOR DISPOSAL BY JRM HAULING & RECYCLING"
,,GEN-SW,Notice Of Non-Compliance,12/10/19,,0,OBSERVED CARDBOARD 10/18/2019 FROM RELIANT MEDICAL GROUP IN MILFORD AT WHEELABRATOR MILLBURY HAULED BY AJ LETOURNEAU
,,GEN-SW,Notice Of Non-Compliance,12/10/19,,0,OBSERVED CARDBOARD & FOOD 10/29/2019 AT OXFORD TS HAULED BY REPUBLIC
,,GEN-SW,Notice Of Non-Compliance,12/5/19,,0,"WASTE BAN VIOLATION LOAD ORGINATED FROM HERITAGE AT STONE RIDGE BULRINGTON, MA CARDBOARD OBSERVED AT MELROSE TS"
,,GEN-SW,Notice Of Non-Compliance,12/5/19,,0,"LOAD ORIGINATED FROM 290 VANDERBILT AVE NORWOOD, MA. CARDBOARD OBSERVED AT BRAINTREE TS"
,,GEN-SW,"Administrative Consent Order, With Penalty",11/26/19,,5000,"ACOP FOR WASTE BAN VIOLATIONS AT WHEELABRATOR NORTH ANDOVER, COVANTA HAVERHILL, AND WHEELABRATOR MILLBURY. ISSUED TO LOWE'S AT THE CORPORATE LEVEL. VIOLATIONS OBSERVED APRIL 18, 2019 THROUGH JULY 19, 2019. PENALTY OF $5,000 PAID 1/7/2019"
,,GEN-SW,"Administrative Consent Order, With Penalty",11/26/19,,2580,
,,GEN-SW,Notice Of Non-Compliance,11/25/19,,0,11/5/19 OBSERVED RECYCLABLE PAPER (CARDBOARD) AT HOWARD TS
,,GEN-SW,Notice Of Non-Compliance,11/25/19,,0,"LOAD ORIGINATED FROM 1 LONGFELLOW PLACE, CARDBOARD OBSERVED BY ROB TOCCHIO AT HOWARD TS"
,,GEN-SW,Notice Of Non-Compliance,11/22/19,,0,CARDBOARD VIOLATION OBSERVED AT THE AUBURN TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD AND METAL WASTE BAN INPSECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD VIOLATION OBSERVED AT THE PEABODY WOOD TRANSFER STATION.
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,VIOLATION OBSERVED AT HOLLISTON TRANSFER STATION CARDBOARD AND COMMERCIAL ORGANIC MATERIAL
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD WASTE BAN INSPECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD AND METAL CONTAINERS WASTE BAN VIOLOATION FOR INSPECTION AT HOWARD TRANSFER STATION 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,BOTTLES & CANS AND METAL WASTE BAN INSPECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,WASTE BAN INSPECTION HOWARD TS 11/5/19 OCC & METAL
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD WASTE BAN INPSECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD VIOLATION OBSERVED AT THE PEABODY WOOD TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD VIOLATION OBSERVED AT THE OXFORD TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,WASTE BAN INSPECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,WASTE BAN INPSECTION AT HOWARD TS 11/5/19 OCC
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD WASTE BAN INSPECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD WASTE BAN INSPECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD VIOLATION OBSERVED AT THE AUBURN TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD VIOLATION OBSERVED AT THE EL HARVEY TRANSFER STATION.
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD WASTE BAN INSPECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD VIOLATION OBSERVED AT THE PEABODY WOOD TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD VIOLATION OBSERVED AT THE PEABODY WOOD TRANSFER STATION.
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD AND METAL WASTE BAN ENFORCEMENT FROM INSPECTIONS AT HOWARD TS 5/28/19 AND 9/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD WASTE BAN ENFORCEMENT FROM INSPECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD WASTE BAN INSPECTION AT HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD WASTE BAN INSPECTIONA T HOWARD TS 11/5/19
,,GEN-SW,Notice Of Non-Compliance,11/21/19,,0,CARDBOARD VIOLATION OBSERVED AT POST ROAD TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,11/15/19,,0,CARDBOARD AND SINGLE STREAM ORIGINATED FROM WESTIN HOTEL SUMMER ST BOSTON. OBSERVED AT WHEELARATOR SAUGUS BY ROB TOCCHIO
,,HAULER,Notice Of Non-Compliance,4/18/17,,0,OBSERVED 4/3/2017 AT MELROSE TS
,,GEN-SW,Notice Of Non-Compliance,11/15/19,,0,CARDBOARD AND PAPER OBSERVED AT WHEELABRATOR SAUGUS BY ROB TOCCHIO
,,HAULER,Notice Of Non-Compliance,6/5/17,,0,OBSERVED 4/24/2017 AT AUBURN TS
,,GEN-SW,Notice Of Non-Compliance,11/15/19,,0,REJECTED (BY CASELLA) RECYCLING LOAD DISPOSED OF AT HOWARD TS OBSERVED BY ROB TOCCHIO
,,GEN-SW,"Administrative Consent Order, With Penalty",11/12/19,,5160,WASTE BAN ENFORCEMENT FOR MULTIPLE STORES AND MATERIALS | PENALTY PAID 21-NOV-2019 PLAN SUBMITTED 2-DEC-2019
,,GEN-SW,"Administrative Consent Order, With Penalty",11/5/19,,1000,"ACOP FOR WASTE BAN VIOLATION (CARDBOARD) MARCH 20, 2019, AT WHEELABRATOR NORTH ANDOVER WASTE TO ENERGY FACILITY."
,,HAULER,Notice Of Non-Compliance,4/20/17,,0,OBSERVED 4/12/2017 AT DEVENS RECYCLING CENTER
,,HAULER,Notice Of Non-Compliance,3/31/17,,0,OBSERVED 3/8/2017 AT AKS RECYCLING
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD VIOLATION OBSERVED AT PEABODY TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD (NOTE FMF ACCOUNT MAY BE INCORRECT - 177068 ON ENF DOC) VIOLATION OCCURED AT WHEELABRATOR MILLBURY
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD
,,HAULER,Notice Of Non-Compliance,4/20/17,,0,OBSERVED 3/29/2017 AT DEDHAM TS
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD VIOLATION OCCURED AT PEABODY TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD VIOLATION OCCURED AT EL HARVEY TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD VIOLATION OCCURED AT POST ROAD TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD VIOLATION OCCURED AT WHEELABRATOR MILLBURY
,,GEN-SW,Notice Of Non-Compliance,10/30/19,,0,CARDBOARD VIOLATION OBSERVED AT HUDSON TRANSFER STATION
,,GEN-SW,Notice Of Non-Compliance,10/28/19,,0,9/19/19 OBSERVED COMMERCIAL ORGANIC MATERIAL (FOOD MATERIAL) AT COVANTA BRAINTREE TRANSFER STATION
