SiteName,Municipality,ProgramCategory,EnforcementTypeDescription,IssuedDate,DocumentNumber,PenaltyCashAssessed,Comment
,,GEN-SW,Notice Of Non-Compliance,1/25/21,,0,WASTE BAN NON 5-NOV-2020 CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,1/25/21,,0,WASTE BAN NON 31-OCT-2020 CARDBOARD
,,GEN-SW,Notice Of Non-Compliance,12/28/20,,0,"WASTE BAN VIOLATION, RECYCLABLE PAPER OCC, LOAD ORIGNATED FROM 21 BEECH ST S. HAMILTON, MA, OBS 11/17/20 AT PEABODY TS. NON WAS RETURNED VIA MAIL, RESENT FEB. 2021"
,,GEN-SW,"Administrative Consent Order, With Penalty",12/28/20,,1850,"WASTE BAN VIOLATION, 2 PRIOR NONS, 1 WITHOUT A RTC. RECYCLABLE PAPER, OCC OBS AT HOWARD TS 6/26/20. RTC- 1 PLAN FOR EACH LOACTION (2 LOCATIONS) AND A GENERAL RTC OFR THE OTHER PROPERTIES"
,,GEN-SW,Notice Of Non-Compliance,12/28/20,,0,"WASTE BAN VIOLATION, RECYCLABLE PAPER OCC, OBS 11/17/20 PEABODY TS, LOAD ORIG FROM 769 MAIN ST. FITCHBURG, MA"
,,GEN-SW,Notice Of Non-Compliance,12/28/20,,0,"WASTE BAN VIOLATION, OBS 11/30/20, FALL RIVER TS, RECYCLABLE PAPER, OCC"
,,GEN-SW,Notice Of Non-Compliance,12/1/20,,0,"CARDBOARD, OBS OCT 23, 2020 AT PEABODY TS"
,,GEN-SW,Notice Of Non-Compliance,12/1/20,,0,"WASTE BAN VIOLATION, OBS AT HOWARD TS OCT 27, 2020, CARDBOARD, WOOD AND WHOLE TIRES"
,,GEN-SW,Notice Of Non-Compliance,12/1/20,,0,"WASTE BAN VIOLATION, OBS OCT 23, 2020 PEABODY TS, ORIGNATING FROM 1 BURT RD ANDOVER, CARDBOARD. ASKED FOR RTC EXTENSION"
,,GEN-SW,Notice Of Non-Compliance,12/1/20,,0,"WASTE BAN VIOLATION, OBS OCT 23, 2020 AT PEABODY TS, CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,12/1/20,,0,"WASTE BAN VIOLATION, OBS AT PEABODY TS OCT 23, 2020, CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,11/17/20,,0,WASTE BAN VIOLATION CARDBOARD OCC HOWARD TS 24-SEP-2020 7018 2290 0001 2359 6735
,,GEN-SW,Notice Of Non-Compliance,11/17/20,,0,"OCT 16, 2020 RAYNHAM TS CARDBOARD"
,,GEN-SW,Notice Of Non-Compliance,11/17/20,,0,WASTE BAN VIOLATION FOR CARDBOARD OCC 17-NOV-2020 HOWARD TS 7018 2290 0001 2359 6728
,,GEN-SW,Notice Of Non-Compliance,11/17/20,,0,"OCT 16, 2020, OBS AT RAYNHAM TS. CARDBOARD AND (1) AC UNIT, FREON ORIGNATING FROM 89 FORBES BLVD MANSFIELD MA"
,,GEN-SW,Notice Of Non-Compliance,11/3/20,,0,"OBS AT SAUGUS WHEELABRATOR 10/2/20, CARDBOARD FROM 500 OCEAN AVE REVERE AND 21 REVERE BEACH BLVD REVERE"
